filter_name,filter_type,selectivity_pct,zone,cbo_lat_p50,cbo_lat_p95,cbo_recall,cbo_sla,cbo_reward,oracle_reward,oracle_gap,cbo_optimal_rate,bm_lat_p50,bm_lat_p95,bm_recall,bm_sla,bm_reward,pf_lat_p50,pf_lat_p95,pf_recall,pf_sla,pf_reward
main_cat='Car Electronics',single,3.162,0-10%,17.7624,27.8895,0.994,0.99,0.9329,0.9434,0.0106,0.95,17.7624,27.8895,1.0,1.0,0.9424,4.4977,16.6344,0.2305,0.04,0.039
main_cat='Cell Phones & Accessories',single,7.9189,0-10%,55.9961,94.6066,0.9925,0.985,0.7965,0.8445,0.048,0.77,56.0898,102.4951,0.9965,0.99,0.7999,3.7308,6.2315,0.516,0.225,0.2224
"main_cat IN ('Cell Phones & Accessories', 'Office Products')",in_set,9.0309,0-10%,63.8321,211.6493,0.9925,0.975,0.7354,0.8052,0.0699,0.74,63.9868,211.6493,0.995,0.985,0.7423,4.0271,9.1366,0.617,0.25,0.2464
"main_cat IN ('Cell Phones & Accessories', 'Car Electronics', 'Portable Audio & Accessories')",in_set,11.9507,10-20%,64.1352,116.0389,0.996,0.985,0.7658,0.8205,0.0547,0.74,64.1352,116.0389,0.996,0.985,0.7658,2.9753,5.4288,0.5755,0.26,0.2575
main_cat='Home Audio & Theater',single,14.6298,10-20%,87.4214,101.1961,0.989,0.98,0.7264,0.8212,0.0948,0.655,87.6704,101.3062,0.9985,0.99,0.7326,2.5771,3.7167,0.621,0.34,0.3374
"main_cat IN ('Home Audio & Theater', 'Sports & Outdoors')",in_set,15.9297,10-20%,94.1361,122.144,0.995,0.995,0.7066,0.8178,0.1112,0.615,94.2276,122.144,1.0,1.0,0.71,2.8911,4.4029,0.6675,0.38,0.3767
"main_cat IN ('All Electronics', 'Office Products')",in_set,18.0366,10-20%,106.0051,140.4387,1.0,1.0,0.6755,0.8841,0.2087,0.355,106.0051,140.4387,1.0,1.0,0.6755,2.601,4.1639,0.91,0.645,0.6399
"main_cat IN ('Camera & Photo', 'Car Electronics', 'Tools & Home Improvement')",in_set,20.9712,20-30%,136.8006,202.3917,0.994,0.98,0.5509,0.7076,0.1567,0.64,136.8718,202.3917,0.997,0.985,0.5534,3.5621,5.3417,0.6455,0.355,0.3512
"main_cat IN ('Home Audio & Theater', 'Cell Phones & Accessories', 'GPS & Navigation')",in_set,23.4178,20-30%,141.8285,181.647,0.9965,0.99,0.5608,0.7584,0.1976,0.545,141.8285,181.647,0.9965,0.99,0.5591,3.0248,4.8795,0.7455,0.46,0.4558
"main_cat IN ('All Electronics', 'Cell Phones & Accessories')",in_set,24.8435,20-30%,150.8437,433.4958,0.996,0.99,0.5031,0.8359,0.3328,0.315,151.2154,433.4958,0.996,0.99,0.4978,3.1509,4.9514,0.9145,0.695,0.6883
"main_cat IN ('All Electronics', 'Cell Phones & Accessories', 'Sports & Outdoors')",in_set,26.1434,20-30%,129.7645,158.7644,0.9945,0.985,0.5828,0.8631,0.2804,0.3,129.7645,158.7644,0.9945,0.985,0.5828,1.9522,3.4911,0.92,0.7,0.6957
main_cat='Computers',single,30.6858,30-40%,2.4724,4.0328,0.7465,0.475,0.4694,0.7464,0.2769,0.47,151.684,188.2093,1.0,1.0,0.5245,2.4724,4.0308,0.7465,0.475,0.4716
"main_cat IN ('Computers', 'Sports & Outdoors')",in_set,31.9857,30-40%,3.47,5.5005,0.8005,0.535,0.5239,0.7058,0.1819,0.525,191.7338,322.0008,1.0,1.0,0.3979,3.4546,5.2087,0.8005,0.535,0.5297
"main_cat IN ('Computers', 'Car Electronics')",in_set,33.8479,30-40%,3.3436,4.8221,0.795,0.53,0.5201,0.7093,0.1892,0.53,193.9436,257.0768,1.0,1.0,0.4065,3.3436,4.8017,0.79,0.525,0.5201
"main_cat IN ('Camera & Photo', 'Home Audio & Theater', 'Cell Phones & Accessories')",in_set,39.3414,30-40%,3.3261,4.981,0.8565,0.665,0.6545,0.745,0.0905,0.66,226.6135,507.9231,0.9965,0.99,0.2807,3.3261,4.981,0.8565,0.665,0.6582
"main_cat IN ('Computers', 'Camera & Photo', 'Home Audio & Theater')",in_set,62.1084,50-90%,3.691,5.4428,0.969,0.875,0.8554,0.8617,0.0063,0.87,365.6548,576.5723,1.0,1.0,0.0097,3.6865,5.3326,0.967,0.87,0.8603
"main_cat IN ('Computers', 'All Electronics', 'Camera & Photo')",in_set,64.4031,50-90%,3.335,4.9613,0.9745,0.885,0.8762,0.8782,0.002,0.885,336.8264,590.2588,0.9995,0.995,0.0361,3.335,4.9613,0.9745,0.885,0.8762
"main_cat IN ('Computers', 'All Electronics', 'Home Audio & Theater')",in_set,62.2403,50-90%,3.6756,5.1935,0.9475,0.81,0.7969,0.8054,0.0085,0.805,355.613,563.1081,0.9995,0.995,0.0246,3.673,5.1646,0.9475,0.81,0.8013
"main_cat IN ('Computers', 'All Electronics', 'Cell Phones & Accessories')",in_set,55.5293,50-90%,3.2762,4.9567,0.9445,0.805,0.7852,0.8119,0.0267,0.8,290.9229,352.9356,1.0,1.0,0.1277,3.2749,4.8086,0.9435,0.795,0.7874
"main_cat IN ('Computers', 'Camera & Photo', 'Cell Phones & Accessories')",in_set,55.3974,50-90%,3.0696,4.5994,0.947,0.815,0.8076,0.8339,0.0263,0.815,282.0063,342.376,1.0,1.0,0.1487,3.0696,4.5994,0.947,0.815,0.8076
"main_cat IN ('Computers', 'Home Audio & Theater', 'Cell Phones & Accessories')",in_set,53.2345,50-90%,3.36,4.9581,0.899,0.73,0.7192,0.7607,0.0415,0.725,280.9814,345.7113,1.0,1.0,0.155,3.36,4.9261,0.899,0.73,0.7229
verified=false,single,100.0,50-90%,3.7088,8.8526,0.989,0.945,0.9334,0.9334,0.0,0.945,522.5103,1599.3897,0.9995,0.995,0.0,3.7088,8.8526,0.989,0.945,0.9334
"main_cat IN ('Computers', 'All Electronics', 'Car Electronics')",in_set,50.7725,50-90%,1.9946,4.7288,0.942,0.775,0.7697,0.8332,0.0635,0.775,231.338,270.8335,0.9995,0.995,0.2931,1.9946,4.7288,0.942,0.775,0.7697
"main_cat IN ('Computers', 'Camera & Photo', 'Car Electronics')",in_set,50.6406,50-90%,1.8246,2.8441,0.9285,0.76,0.7559,0.8241,0.0682,0.76,229.8803,274.685,1.0,1.0,0.2931,1.8246,2.8441,0.9285,0.76,0.7559
"main_cat IN ('Computers', 'All Electronics', 'Sports & Outdoors')",in_set,48.9103,40-50%,2.1489,3.6754,0.9445,0.77,0.765,0.8341,0.069,0.77,227.4756,287.344,0.9995,0.995,0.2972,2.1489,3.6754,0.9445,0.77,0.765
"main_cat IN ('Computers', 'Camera & Photo', 'Sports & Outdoors')",in_set,48.7784,40-50%,2.9071,4.3437,0.916,0.755,0.742,0.8026,0.0606,0.75,238.7669,325.2061,1.0,1.0,0.2516,2.8889,4.3272,0.9155,0.75,0.7436
"main_cat IN ('Computers', 'All Electronics', 'Office Products')",in_set,48.7224,40-50%,2.2671,4.0641,0.94,0.76,0.7513,0.8223,0.0711,0.755,231.927,286.5301,0.9995,0.995,0.2843,2.2671,4.0431,0.94,0.76,0.7547
"main_cat IN ('Computers', 'All Electronics', 'Tools & Home Improvement')",in_set,48.6269,40-50%,2.2328,3.765,0.944,0.78,0.7711,0.8385,0.0674,0.775,226.0885,278.6891,0.9995,0.995,0.2993,2.2328,3.7388,0.944,0.78,0.7746
"main_cat IN ('Computers', 'Camera & Photo', 'Office Products')",in_set,48.5905,40-50%,2.4394,3.7822,0.9145,0.73,0.7215,0.8007,0.0792,0.725,228.85,288.4509,0.9995,0.995,0.2871,2.4394,3.7063,0.9145,0.73,0.7248
"main_cat IN ('Computers', 'Camera & Photo', 'Tools & Home Improvement')",in_set,48.495,40-50%,2.6215,4.0522,0.9115,0.75,0.7408,0.8131,0.0723,0.745,231.3393,303.9869,0.9985,0.99,0.2822,2.6128,3.9748,0.9115,0.75,0.7442
