step,frozen,crossover,sla_last100,reward_last100,q_bm_020,q_pf_020,q_bm_030,q_pf_030,q_bm_040,q_pf_040
100,False,,0.8,0.5511,1.0,1.0,0.8892,0.9996,1.0,0.9982
200,False,,0.79,0.5532,1.0,1.0,0.8892,0.9989,0.9415,0.8306
300,False,,0.84,0.6436,1.0,1.0,0.7911,0.9162,0.7726,0.753
400,False,0.35000000000000003,0.81,0.6445,1.0,1.0,0.7911,0.9162,0.6685,0.7054
500,False,0.22999999999999995,0.85,0.6901,1.0,1.0,0.7733,0.8358,0.6408,0.7301
600,False,0.35000000000000003,0.77,0.6758,1.0,1.0,0.7733,0.7173,0.6408,0.7899
700,False,0.35000000000000003,0.79,0.6838,1.0,1.0,0.7061,0.7173,0.6408,0.6791
800,False,0.35000000000000003,0.76,0.6587,1.0,1.0,0.6955,0.7,0.6209,0.6498
900,False,0.35000000000000003,0.88,0.7574,1.0,1.0,0.6862,0.6453,0.6209,0.6522
1000,False,0.35000000000000003,0.84,0.6958,1.0,1.0,0.6696,0.6453,0.5979,0.6778
1100,False,0.35000000000000003,0.87,0.7473,1.0,1.0,0.6696,0.6652,0.5979,0.7422
1200,False,0.31,0.81,0.7025,1.0,1.0,0.6633,0.6166,0.5878,0.7922
1300,False,0.31,0.88,0.7627,1.0,1.0,0.6467,0.5729,0.5722,0.8189
1400,False,0.31,0.84,0.7563,1.0,1.0,0.6415,0.5328,0.5722,0.7301
1500,False,0.31,0.74,0.633,1.0,1.0,0.6333,0.5328,0.5722,0.6547
1600,False,0.31,0.79,0.7129,1.0,1.0,0.6297,0.5328,0.5722,0.6808
1700,False,0.31,0.84,0.7314,1.0,1.0,0.6264,0.5328,0.5722,0.596
1800,False,0.33,0.8,0.6761,1.0,1.0,0.6165,0.5328,0.5452,0.5484
1900,False,0.4100000000000001,0.88,0.7738,1.0,1.0,0.6165,0.5636,0.5452,0.5146
2000,False,0.31,0.86,0.7701,1.0,1.0,0.6065,0.5636,0.5354,0.536
2100,False,0.31,0.8,0.7136,1.0,1.0,0.6031,0.5636,0.5354,0.5447
2200,False,0.31,0.86,0.7512,1.0,1.0,0.5958,0.5636,0.525,0.5846
2300,False,0.31,0.84,0.7232,1.0,1.0,0.592,0.5636,0.525,0.5963
2400,False,0.31,0.79,0.7148,1.0,1.0,0.5906,0.5896,0.525,0.6387
2500,False,0.31,0.88,0.7898,1.0,1.0,0.5883,0.5551,0.525,0.6036
2600,False,0.31,0.82,0.694,1.0,1.0,0.5843,0.5551,0.5178,0.6286
2700,False,0.31,0.87,0.7701,1.0,1.0,0.5836,0.5551,0.5178,0.6644
2800,False,0.31,0.86,0.7687,1.0,1.0,0.5831,0.5551,0.5178,0.7249
2900,False,0.24999999999999994,0.82,0.7216,1.0,1.0,0.5829,0.6018,0.5178,0.7249
3000,False,0.26999999999999996,0.81,0.729,1.0,1.0,0.5827,0.6963,0.5178,0.6194
3100,False,0.35000000000000003,0.74,0.6611,1.0,1.0,0.5827,0.694,0.5178,0.5339
3200,False,0.35000000000000003,0.79,0.6725,1.0,1.0,0.5807,0.6258,0.5057,0.556
3300,False,0.35000000000000003,0.81,0.7105,1.0,1.0,0.5807,0.6146,0.5057,0.5765
3400,False,0.35000000000000003,0.88,0.7545,1.0,1.0,0.5807,0.6046,0.5057,0.6042
3500,False,0.35000000000000003,0.9,0.777,1.0,1.0,0.5799,0.5751,0.5013,0.587
3600,False,0.35000000000000003,0.85,0.7242,1.0,1.0,0.5795,0.5671,0.5013,0.587
3700,False,0.31,0.82,0.6992,1.0,1.0,0.5792,0.56,0.5013,0.6543
3800,False,0.26999999999999996,0.92,0.8183,1.0,1.0,0.5791,0.5795,0.5013,0.6666
3900,False,0.24999999999999994,0.9,0.779,1.0,1.0,0.5791,0.6155,0.4991,0.6766
4000,False,0.24999999999999994,0.84,0.7536,1.0,1.0,0.5789,0.6321,0.4991,0.6105
4100,False,0.29,0.82,0.7266,1.0,1.0,0.5789,0.6517,0.4991,0.6018
4200,False,0.29,0.85,0.7716,1.0,1.0,0.5789,0.6663,0.4991,0.6481
4300,False,0.24999999999999994,0.86,0.7713,1.0,1.0,0.5789,0.6643,0.4975,0.6506
4400,False,0.24999999999999994,0.86,0.7624,1.0,1.0,0.5789,0.6643,0.4975,0.6768
4500,False,0.24999999999999994,0.91,0.8332,1.0,1.0,0.5789,0.6659,0.4913,0.7011
4600,False,0.24999999999999994,0.85,0.7696,1.0,1.0,0.5789,0.6532,0.4913,0.6604
4700,False,0.24999999999999994,0.8,0.7201,1.0,1.0,0.5789,0.6557,0.4913,0.6144
4800,False,0.24999999999999994,0.81,0.7427,1.0,1.0,0.5789,0.6443,0.4913,0.6346
4900,False,0.24999999999999994,0.8,0.7002,1.0,1.0,0.5789,0.6581,0.4867,0.5603
5000,False,0.24999999999999994,0.82,0.7731,1.0,1.0,0.5789,0.684,0.4867,0.5548
5100,False,0.24999999999999994,0.87,0.7919,1.0,1.0,0.5789,0.7295,0.4848,0.5851
5200,False,0.24999999999999994,0.84,0.7636,1.0,1.0,0.5789,0.7315,0.4848,0.5065
5300,False,0.4100000000000001,0.8,0.7209,1.0,1.0,0.5789,0.6871,0.4783,0.4717
5400,False,0.24999999999999994,0.84,0.7517,1.0,1.0,0.5789,0.6987,0.4708,0.4717
5500,False,0.4100000000000001,0.77,0.6657,1.0,1.0,0.5789,0.6509,0.4555,0.4555
5600,False,0.4100000000000001,0.79,0.7058,1.0,1.0,0.5789,0.575,0.4548,0.4402
5700,False,0.4100000000000001,0.85,0.7539,1.0,1.0,0.5788,0.575,0.4486,0.4402
5800,False,0.4100000000000001,0.82,0.725,1.0,1.0,0.579,0.575,0.4475,0.4402
5900,False,0.4100000000000001,0.82,0.7042,1.0,1.0,0.5783,0.575,0.4442,0.4402
6000,False,0.4100000000000001,0.85,0.7071,1.0,1.0,0.5784,0.575,0.441,0.4259
6100,False,0.4100000000000001,0.89,0.7765,1.0,1.0,0.578,0.5554,0.4393,0.4259
6200,False,0.31,0.81,0.7463,1.0,1.0,0.5775,0.5703,0.4393,0.4808
6300,False,0.4100000000000001,0.79,0.6702,1.0,1.0,0.5776,0.5703,0.4391,0.4368
6400,False,0.4100000000000001,0.9,0.779,1.0,1.0,0.577,0.5703,0.4358,0.4233
6500,False,0.4100000000000001,0.79,0.679,1.0,1.0,0.5773,0.5595,0.4273,0.4233
6600,False,0.4100000000000001,0.8,0.6961,1.0,1.0,0.5773,0.5595,0.4248,0.4233
6700,False,0.31,0.91,0.7802,1.0,1.0,0.5772,0.5595,0.4234,0.4405
6800,False,0.31,0.86,0.7362,1.0,1.0,0.5765,0.5595,0.424,0.4325
6900,False,0.4100000000000001,0.81,0.7035,1.0,1.0,0.5768,0.5562,0.424,0.4198
7000,False,0.31,0.87,0.7326,1.0,1.0,0.577,0.5523,0.419,0.4198
7100,False,0.31,0.84,0.7254,1.0,1.0,0.5772,0.5654,0.419,0.4676
7200,False,0.31,0.88,0.7702,1.0,1.0,0.5748,0.5654,0.419,0.4696
7300,False,0.31,0.84,0.723,1.0,1.0,0.5748,0.5654,0.4175,0.4993
7400,False,0.31,0.83,0.7333,1.0,1.0,0.5748,0.533,0.4161,0.5129
