phase,n_docs,query_idx,filter_idx,actual_selectivity,estimated_selectivity,strategy_chosen,latency_ms,recall,reward,predict_overhead_us,route_overhead_us
learning,100000,34,11,0.29827,0.29133333333333333,bitmap_prefilter,8.442042002570815,1.0,0.5778978998714592,34292.002965230495,10.791998647619039
learning,100000,12,16,0.65811,0.66,post_filter,0.4409160028444603,1.0,0.977954199857777,11749.994882848114,2.8750000637955964
learning,100000,22,1,0.07002,0.07833333333333334,bitmap_prefilter,2.096541997161694,1.0,0.8951729001419153,20167.004549875855,1.2079981388524175
learning,100000,45,29,0.95333,0.955,post_filter,0.47954100591596216,1.0,0.9760229497042019,22791.995434090495,0.12499367585405707
learning,100000,47,5,0.16001,0.15933333333333333,post_filter,0.5545830063056201,1.0,0.972270849684719,6958.005542401224,0.8750066626816988
learning,100000,11,19,0.72884,0.732,post_filter,0.5119999987073243,1.0,0.9744000000646338,13083.001249469817,1.334003172814846
learning,100000,11,21,0.77111,0.7763333333333333,bitmap_prefilter,20.7419580037822,1.0,0.0,33625.00137882307,1.4170000213198364
learning,100000,10,0,0.05025,0.050666666666666665,bitmap_prefilter,1.4528750034514815,1.0,0.9273562498274259,7167.000148911029,0.500003807246685
learning,100000,26,26,0.8826,0.883,bitmap_prefilter,22.938165995583404,1.0,0.0,8290.997357107699,1.45800004247576
learning,100000,40,13,0.34161,0.33366666666666667,bitmap_prefilter,9.275624994188547,1.0,0.5362187502905726,5791.9969549402595,0.7919952622614801
learning,100000,39,9,0.24979,0.24466666666666667,bitmap_prefilter,6.930958996235859,1.0,0.6534520501882071,10416.995792184025,0.790998456068337
learning,100000,8,10,0.2702,0.2713333333333333,post_filter,0.45195900747785345,1.0,0.9774020496261073,2166.9984562322497,0.7079943316057324
learning,100000,3,6,0.1808,0.182,post_filter,0.5018330048187636,0.8,0.0,5750.000127591193,0.6250047590583563
learning,100000,16,14,0.39017,0.397,post_filter,0.5721250054193661,1.0,0.9713937497290317,8791.997970547527,0.9159994078800082
learning,100000,48,26,0.8826,0.883,bitmap_prefilter,22.87912499741651,1.0,0.0,3958.0045267939568,1.3750031939707696
learning,100000,30,22,0.78694,0.7896666666666666,post_filter,0.6485409976448864,1.0,0.9675729501177557,3583.001671358943,1.2090022210031748
learning,100000,47,4,0.1398,0.146,post_filter,0.5734169972129166,0.8,0.0,10042.000212706625,0.5839974619448185
learning,100000,49,19,0.72884,0.732,post_filter,0.5304580045049079,1.0,0.9734770997747546,3250.00291923061,1.1660013115033507
learning,100000,26,19,0.72884,0.732,bitmap_prefilter,20.158416002232116,1.0,0.0,2332.9994291998446,1.2079981388524175
