phase,n_docs,selectivity_pct,cbo_latency_ms,cbo_recall,pf_latency_ms,pf_recall,bitmap_bf_latency_ms,bitmap_bf_recall,idsel_latency_ms,idsel_recall
1,100000,5.03,1.46,1.0,0.47,0.334,1.46,1.0,0.49,0.84
1,100000,7.0,2.18,1.0,0.49,0.524,2.18,1.0,0.58,0.938
1,100000,8.97,2.85,0.994,0.51,0.576,2.85,0.994,0.69,0.918
1,100000,12.05,3.67,0.99,0.55,0.494,3.67,0.99,0.79,0.918
1,100000,13.98,4.13,0.994,0.5,0.83,4.13,0.994,0.85,0.966
1,100000,16.0,4.64,0.996,0.47,0.828,4.64,0.996,0.84,0.962
1,100000,18.08,5.26,0.998,0.47,0.856,5.26,0.998,0.9,0.97
1,100000,21.09,6.12,0.996,0.5,0.92,6.12,0.996,0.98,0.984
1,100000,23.08,0.46,0.9,0.46,0.9,6.59,0.99,1.0,0.968
1,100000,24.98,0.47,0.978,0.47,0.978,7.04,1.0,1.04,0.996
1,100000,27.02,0.58,0.918,0.58,0.918,8.5,0.984,1.31,0.966
1,100000,29.83,0.6,0.94,0.6,0.94,9.55,1.0,1.31,0.976
1,100000,31.91,0.5,0.916,0.5,0.916,9.02,0.988,1.22,0.962
1,100000,34.16,0.46,0.92,0.46,0.92,9.64,0.994,1.22,0.962
1,100000,39.02,0.47,0.954,0.47,0.954,12.16,0.994,1.34,0.982
1,100000,61.14,0.49,0.926,0.49,0.926,20.21,0.95,2.1,0.97
1,100000,65.81,0.52,0.952,0.52,0.952,20.8,0.95,2.12,0.97
1,100000,68.22,0.47,0.944,0.47,0.944,21.27,0.948,2.07,0.968
1,100000,70.32,0.48,0.94,0.48,0.94,21.07,0.936,2.03,0.952
1,100000,72.88,0.45,0.952,0.45,0.952,21.93,0.948,2.09,0.968
1,100000,75.38,0.47,0.95,0.47,0.95,23.06,0.948,2.09,0.968
1,100000,77.11,0.58,0.932,0.58,0.932,26.66,0.928,2.08,0.944
1,100000,78.69,1.49,0.936,1.49,0.936,24.86,0.944,2.3,0.958
1,100000,82.45,0.65,0.946,0.65,0.946,27.14,0.942,2.31,0.962
1,100000,83.36,0.47,0.948,0.47,0.948,23.15,0.944,2.14,0.96
1,100000,85.77,0.46,0.944,0.46,0.944,23.51,0.942,2.12,0.958
1,100000,88.26,0.55,0.944,0.55,0.944,27.7,0.94,2.22,0.956
1,100000,90.43,0.48,0.946,0.48,0.946,24.7,0.942,2.18,0.958
1,100000,92.93,0.46,0.944,0.46,0.944,24.65,0.94,2.19,0.956
1,100000,95.33,0.47,0.938,0.47,0.938,34.72,0.936,2.21,0.95
