phase,n_docs,selectivity_pct,cbo_latency_ms,cbo_recall,pf_latency_ms,pf_recall,idsel_latency_ms,idsel_recall,bitmap_bf_latency_ms,bitmap_bf_recall
1,200000,5.0,0.69,0.82,0.9,0.804,0.66,0.828,2.83,0.998
1,200000,7.08,0.84,0.684,0.94,0.65,0.72,0.712,3.97,0.994
1,200000,9.08,0.89,0.92,0.82,0.92,0.94,0.92,5.55,0.992
1,200000,12.08,0.89,0.888,0.85,0.878,0.97,0.892,6.99,0.996
1,200000,14.0,0.98,0.954,0.8,0.954,1.15,0.954,8.09,0.998
1,200000,16.02,1.03,0.878,0.86,0.878,1.26,0.884,9.47,0.996
1,200000,17.81,0.88,0.93,0.81,0.93,1.26,0.93,10.31,1.0
1,200000,21.04,1.34,0.888,0.85,0.888,1.89,0.888,17.88,1.0
1,200000,23.1,1.09,0.898,0.83,0.898,1.41,0.904,13.51,1.0
1,200000,24.97,1.25,0.992,0.79,0.992,2.08,0.992,21.38,1.0
1,200000,27.0,1.11,0.986,0.79,0.986,1.8,0.988,15.93,1.0
1,200000,30.09,1.05,0.97,0.81,0.97,1.83,0.97,17.48,1.0
1,200000,31.88,1.22,0.992,0.79,0.992,2.62,0.992,25.56,1.0
1,200000,34.01,1.15,0.984,0.81,0.984,2.1,0.984,20.18,1.0
1,200000,38.94,2.15,0.996,1.89,0.996,2.98,0.996,31.5,1.0
1,200000,61.06,1.55,0.984,0.85,0.984,3.77,0.984,46.24,0.998
1,200000,65.83,1.72,0.996,1.17,0.996,3.6,0.996,45.19,0.998
1,200000,68.12,2.57,0.996,2.34,0.996,3.72,0.996,48.63,0.998
1,200000,70.28,1.5,0.992,0.81,0.992,3.69,0.992,42.11,0.998
1,200000,72.87,1.16,0.996,0.81,0.996,3.76,0.996,43.2,0.998
1,200000,75.03,1.46,0.996,0.81,0.996,3.72,0.996,44.23,0.998
1,200000,77.35,1.32,0.996,0.81,0.996,3.68,0.996,44.38,0.998
1,200000,78.96,1.69,0.99,0.83,0.99,3.82,0.99,61.95,0.998
1,200000,82.09,1.33,0.996,0.8,0.996,3.73,0.996,47.12,0.998
1,200000,83.71,1.24,0.99,0.82,0.99,3.95,0.99,47.38,0.998
1,200000,86.03,1.85,0.992,0.79,0.992,3.7,0.992,47.1,0.998
1,200000,88.19,1.14,0.992,0.79,0.992,3.73,0.992,48.17,0.998
1,200000,90.78,0.99,0.992,0.99,0.992,3.82,0.992,66.26,0.998
1,200000,92.94,0.77,0.994,0.77,0.994,3.83,0.994,49.23,0.998
1,200000,95.25,0.78,0.994,0.78,0.994,4.03,0.994,51.44,0.998
