n_docs,selectivity_pct,cbo_latency_ms,cbo_recall,pf_latency_ms,pf_recall,bitmap_bf_latency_ms,bitmap_bf_recall,idsel_latency_ms,idsel_recall
200000,5.57,9.44,0.98,0.67,0.516,9.44,0.98,4.68,0.722
200000,6.84,11.92,0.98,0.65,0.566,11.92,0.98,6.11,0.764
200000,9.19,14.59,0.964,0.61,0.568,14.86,0.98,6.89,0.758
200000,10.47,16.77,0.978,0.61,0.61,17.09,0.98,7.98,0.782
200000,14.59,24.37,1.0,0.6,0.77,24.37,1.0,10.63,0.902
200000,15.98,23.88,0.994,0.5,0.862,24.36,1.0,10.98,0.936
200000,18.22,29.77,1.0,0.53,0.844,29.77,1.0,13.57,0.936
200000,21.11,33.83,0.98,0.53,0.892,33.83,0.98,14.98,0.944
200000,22.94,40.12,1.0,0.6,0.78,40.12,1.0,16.39,0.912
200000,24.97,43.6,1.0,0.67,0.604,43.6,1.0,18.03,0.832
200000,26.91,43.75,0.98,0.59,0.736,43.75,0.98,19.16,0.886
200000,30.02,0.57,0.922,0.57,0.922,48.72,1.0,21.25,0.958
200000,31.81,0.66,0.938,0.66,0.938,51.47,1.0,21.58,0.962
200000,34.08,0.53,0.896,0.53,0.896,49.9,1.0,22.82,0.956
200000,38.97,0.72,0.834,0.72,0.834,61.21,1.0,25.95,0.932
200000,61.11,2.15,0.95,0.58,0.95,83.34,1.0,38.86,0.968
200000,67.15,0.45,0.954,0.45,0.954,87.95,1.0,42.29,0.962
200000,63.41,0.45,0.946,0.45,0.946,83.85,1.0,40.07,0.968
200000,54.39,0.45,0.952,0.45,0.952,73.74,0.98,34.61,0.964
200000,53.56,0.46,0.932,0.46,0.932,71.76,1.0,33.99,0.964
200000,52.45,1.84,0.95,0.45,0.948,69.47,1.0,33.31,0.96
200000,100.0,0.51,0.968,0.51,0.968,129.45,0.98,62.54,0.97
200000,52.08,0.47,0.948,0.47,0.948,69.31,0.98,33.11,0.964
200000,50.14,0.44,0.948,0.44,0.948,67.94,1.0,32.16,0.964
200000,50.09,0.44,0.936,0.44,0.936,67.14,1.0,32.12,0.962
200000,49.97,1.78,0.934,0.44,0.934,67.17,1.0,31.75,0.962
200000,49.81,1.79,0.938,0.44,0.938,67.58,1.0,31.71,0.964
200000,49.77,0.44,0.938,0.44,0.938,67.49,1.0,31.74,0.962
200000,49.52,0.44,0.948,0.44,0.948,66.8,1.0,31.55,0.962
200000,49.51,0.44,0.938,0.44,0.938,66.62,1.0,31.52,0.962
