filter_name,filter_type,true_selectivity,estimated_selectivity,absolute_error,relative_error_pct,estimation_time_us
main_cat='Automotive',single,0.00117,0.001117,5.3e-05,4.55,0.29
"main_cat='Arts, Crafts & Sewing'",single,0.001368,0.001546,0.000178,13.0,0.29
main_cat='Amazon Home',single,0.001438,0.000773,0.000665,46.23,0.29
main_cat='Portable Audio &amp; Accessories',single,0.001453,0.001546,9.3e-05,6.39,0.29
main_cat='Health & Personal Care',single,0.00166,0.001289,0.000371,22.36,0.29
brand='Allsop',single,0.002113,0.001976,0.000137,6.5,0.29
brand='Gam3Gear',single,0.002126,0.002319,0.000193,9.1,0.29
brand='C2G/Cables To Go',single,0.002162,0.001632,0.00053,24.51,0.33
brand='Domke',single,0.002247,0.002921,0.000674,29.98,0.29
brand='JBL',single,0.00226,0.002749,0.000489,21.63,0.25
brand='APC',single,0.002306,0.002319,1.3e-05,0.57,0.33
brand='Apple',single,0.002309,0.002319,1e-05,0.45,0.29
brand='Mighty Bright',single,0.002412,0.002062,0.00035,14.52,0.29
brand='Polaroid',single,0.002466,0.002405,6.1e-05,2.47,0.29
brand='Epartsdom',single,0.002474,0.002663,0.000189,7.65,0.33
brand='Gardner Bender',single,0.002538,0.002233,0.000305,12.01,0.29
brand='OP/TECH USA',single,0.002559,0.002491,6.8e-05,2.65,0.33
brand='Acoustic Research',single,0.002621,0.001718,0.000903,34.44,0.29
brand='Philips',single,0.002811,0.003093,0.000281,10.0,0.33
brand='Tivoli Audio',single,0.002814,0.002491,0.000323,11.47,0.33
brand='Wiremold',single,0.002866,0.002577,0.000288,10.07,0.29
brand='National Hardware',single,0.002961,0.003007,4.6e-05,1.54,0.29
brand='Uniden',single,0.002966,0.002577,0.000389,13.11,0.33
brand='AVerMedia',single,0.003012,0.003866,0.000853,28.32,0.29
brand='Rio',single,0.003036,0.00378,0.000744,24.51,0.33
brand='JLAB',single,0.003064,0.004123,0.001059,34.58,0.29
brand='Adesso',single,0.003213,0.003007,0.000207,6.44,0.33
brand='Targus',single,0.003347,0.002663,0.000684,20.45,0.29
brand='Green Leaf',single,0.003407,0.004037,0.000631,18.51,0.29
brand='Motorola',single,0.003595,0.003866,0.000271,7.53,0.29
brand='VideoSecu',single,0.003688,0.003522,0.000166,4.49,0.33
brand='Rolodex',single,0.003878,0.003436,0.000442,11.4,0.29
main_cat='Sports &amp; Outdoors',single,0.004038,0.003866,0.000172,4.27,0.29
brand='Kingston',single,0.004172,0.004381,0.000209,5.01,0.29
brand='Visit Amazon's Ava Miles Page',single,0.004448,0.004811,0.000363,8.16,0.29
brand='Coby',single,0.004499,0.006099,0.0016,35.56,0.29
brand='Kodak',single,0.004809,0.005154,0.000346,7.19,0.29
brand='Brother',single,0.004948,0.005498,0.00055,11.12,0.33
brand='Pioneer',single,0.004997,0.004982,1.4e-05,0.29,0.29
brand='Klipsch',single,0.005306,0.00524,6.6e-05,1.24,0.33
brand='SANOXY',single,0.005324,0.004209,0.001115,20.94,0.29
brand='Fellowes',single,0.005476,0.006099,0.000623,11.38,0.29
brand='Midland',single,0.005551,0.005498,5.3e-05,0.95,0.29
brand='Terk',single,0.005564,0.004982,0.000581,10.45,0.29
brand='Sangean',single,0.005589,0.006013,0.000424,7.58,0.29
brand='DTOL',single,0.005698,0.00567,2.8e-05,0.49,0.29
brand='Plantronics',single,0.005716,0.006529,0.000813,14.22,0.29
brand='Microsoft',single,0.005754,0.006357,0.000603,10.47,0.33
main_cat='Tools & Home Improvement' AND overall>=5.0,compound,0.005842,0.006615,0.000773,13.23,1.29
main_cat='Tools &amp; Home Improvement' AND overall>=4.0,compound,0.005942,0.006786,0.000844,14.2,5.17
brand='Barnes &amp; Noble',single,0.005945,0.005154,0.000791,13.3,0.33
brand='SanDisk',single,0.006146,0.00567,0.000476,7.75,0.29
main_cat='Cell Phones & Accessories' AND overall>=4.0,compound,0.006167,0.006099,6.7e-05,1.09,5.04
main_cat='Car Electronics' AND overall>=5.0,compound,0.006406,0.006013,0.000393,6.14,1.33
main_cat='Tools &amp; Home Improvement' AND overall>=3.0,compound,0.006597,0.007388,0.000791,11.99,6.42
brand='Creative',single,0.006674,0.006786,0.000112,1.68,0.29
brand='Garmin',single,0.006757,0.007474,0.000717,10.61,0.29
brand='Cobra',single,0.006777,0.006357,0.00042,6.2,0.29
main_cat='Tools & Home Improvement' AND overall>=4.0,compound,0.006816,0.008075,0.001259,18.47,4.88
main_cat='Cell Phones & Accessories' AND overall>=3.0,compound,0.006976,0.007044,6.8e-05,0.98,6.42
brand='RCA',single,0.006981,0.007903,0.000922,13.21,0.33
brand='Olympus',single,0.007053,0.006271,0.000782,11.09,0.29
main_cat='Cell Phones &amp; Accessories' AND overall>=4.0,compound,0.007079,0.007817,0.000738,10.43,4.96
brand='Audio-Technica',single,0.007087,0.006615,0.000472,6.66,0.29
main_cat='Tools & Home Improvement' AND overall>=3.0,compound,0.007218,0.008247,0.001029,14.25,6.38
brand='Cyber Acoustics',single,0.007509,0.007388,0.000122,1.62,0.29
brand='Verbatim',single,0.007548,0.008075,0.000527,6.98,0.29
main_cat='Sports & Outdoors' AND overall>=5.0,compound,0.007548,0.008419,0.000871,11.54,1.33
main_cat='Tools &amp; Home Improvement',single,0.007648,0.008075,0.000427,5.58,0.29
brand='Bose',single,0.0078,0.006529,0.001272,16.3,0.29
main_cat='Tools & Home Improvement',single,0.007901,0.00902,0.001119,14.16,0.25
brand='Monster',single,0.007919,0.007216,0.000703,8.88,0.29
main_cat='Cell Phones &amp; Accessories' AND overall>=3.0,compound,0.008128,0.009278,0.00115,14.15,6.29
brand='Fujifilm',single,0.008205,0.008762,0.000557,6.79,0.29
main_cat='Car Electronics' AND overall>=4.0,compound,0.008318,0.007645,0.000673,8.09,4.92
main_cat='Office Products' AND overall>=5.0,compound,0.008927,0.008333,0.000594,6.65,1.46
main_cat='Cell Phones & Accessories',single,0.008942,0.008419,0.000523,5.85,0.29
main_cat='Books' AND overall>=5.0,compound,0.008942,0.010308,0.001366,15.28,1.42
main_cat='Car Electronics' AND overall>=3.0,compound,0.009081,0.007989,0.001092,12.03,6.33
brand='Polk Audio',single,0.009133,0.009621,0.000489,5.35,0.29
brand='Memorex',single,0.009377,0.008848,0.000529,5.65,0.29
brand='D-Link',single,0.00997,0.009793,0.000177,1.78,0.29
main_cat='Sports & Outdoors' AND overall>=4.0,compound,0.010233,0.011511,0.001278,12.49,5.04
brand='Kensington',single,0.010267,0.010137,0.00013,1.27,0.25
main_cat='Car Electronics',single,0.010602,0.009363,0.001238,11.68,0.29
brand='TRENDnet',single,0.010632,0.009879,0.000754,7.09,0.29
main_cat='Cell Phones &amp; Accessories',single,0.010949,0.011683,0.000733,6.7,0.33
main_cat='Office Products' AND overall>=4.0,compound,0.010949,0.010137,0.000813,7.42,5.21
main_cat='Sports & Outdoors' AND overall>=3.0,compound,0.011418,0.0128,0.001381,12.1,6.5
main_cat='Office Products' AND overall>=3.0,compound,0.011846,0.010996,0.000851,7.18,6.33
main_cat='Books' AND overall>=4.0,compound,0.012166,0.012885,0.00072,5.92,4.92
brand='3M',single,0.012266,0.0128,0.000533,4.35,0.29
brand='Celestron',single,0.012524,0.013401,0.000877,7.0,0.29
main_cat='Office Products',single,0.013135,0.012714,0.000421,3.2,0.29
main_cat='Sports & Outdoors',single,0.0133,0.015291,0.001991,14.97,0.29
main_cat='Books' AND overall>=3.0,compound,0.013328,0.01426,0.000932,6.99,6.29
brand='Logitech',single,0.014006,0.014002,3e-06,0.02,0.29
brand='NETGEAR',single,0.014348,0.013229,0.001119,7.8,0.33
brand='Case Logic',single,0.014493,0.01091,0.003583,24.72,0.29
main_cat='Books',single,0.014555,0.015463,0.000908,6.24,0.29
brand='Bushnell',single,0.016297,0.018383,0.002087,12.8,0.29
brand='Linksys',single,0.018866,0.017524,0.001341,7.11,0.29
brand='Sennheiser',single,0.020136,0.021132,0.000996,4.95,0.29
brand='C2G',single,0.02076,0.021304,0.000544,2.62,0.33
brand='Maxell',single,0.021036,0.020359,0.000676,3.22,0.33
main_cat='Computers' AND overall>=5.0,compound,0.022123,0.022764,0.000641,2.9,1.67
brand='StarTech',single,0.022218,0.022421,0.000202,0.91,0.29
main_cat='Musical Instruments' AND overall>=5.0,compound,0.022515,0.024139,0.001624,7.21,1.46
brand='Hosa',single,0.027274,0.027919,0.000644,2.36,0.29
main_cat='Musical Instruments' AND overall>=4.0,compound,0.028509,0.030238,0.001729,6.07,5.08
main_cat='Computers' AND overall>=4.0,compound,0.028511,0.027833,0.000679,2.38,5.17
brand='Koss',single,0.02857,0.029207,0.000637,2.23,0.29
main_cat='Musical Instruments' AND overall>=3.0,compound,0.030869,0.032557,0.001688,5.47,6.42
brand='Nikon',single,0.031356,0.028863,0.002493,7.95,0.29
main_cat='Computers' AND overall>=3.0,compound,0.031488,0.030753,0.000734,2.33,6.54
brand='Tripp Lite',single,0.033768,0.035993,0.002225,6.59,0.25
main_cat='Musical Instruments',single,0.034242,0.036853,0.00261,7.62,0.33
brand='Panasonic',single,0.038744,0.040203,0.001459,3.76,0.29
main_cat='Computers',single,0.039162,0.038485,0.000677,1.73,0.29
brand='Belkin',single,0.047606,0.049223,0.001616,3.4,0.29
"main_cat IN ('Computers', 'Cell Phones &amp; Accessories')",in_set,0.050111,0.050168,5.6e-05,0.11,0.92
brand='Tiffen',single,0.050291,0.050597,0.000306,0.61,0.29
verified=false AND overall<=2.0,compound,0.051889,0.053861,0.001972,3.8,6.21
"main_cat IN ('Computers', 'Office Products')",in_set,0.052296,0.051198,0.001098,2.1,0.92
"main_cat IN ('Computers', 'Sports & Outdoors')",in_set,0.052461,0.053775,0.001314,2.51,0.92
"main_cat IN ('Computers', 'Books')",in_set,0.053716,0.053947,0.000231,0.43,0.79
main_cat='Camera &amp; Photo' AND overall>=5.0,compound,0.053987,0.052745,0.001242,2.3,1.62
brand='Canon',single,0.058808,0.054119,0.004689,7.97,0.29
brand='Sony',single,0.064364,0.063483,0.000882,1.37,0.33
main_cat='Home Audio &amp; Theater' AND overall>=5.0,compound,0.066807,0.067778,0.000971,1.45,1.79
main_cat='Camera &amp; Photo' AND overall>=4.0,compound,0.068464,0.068551,8.7e-05,0.13,5.25
verified=false AND overall<=3.0,compound,0.071283,0.071987,0.000704,0.99,9.67
"main_cat IN ('Computers', 'Musical Instruments')",in_set,0.073404,0.075337,0.001933,2.63,1.08
main_cat='Camera &amp; Photo' AND overall>=3.0,compound,0.073636,0.074564,0.000928,1.26,6.54
main_cat='Camera &amp; Photo',single,0.081807,0.082553,0.000746,0.91,0.29
main_cat='Camera & Photo' AND overall>=5.0,compound,0.083462,0.07843,0.005032,6.03,1.83
main_cat='Home Audio &amp; Theater' AND overall>=4.0,compound,0.085995,0.08556,0.000435,0.51,5.37
"main_cat IN ('Camera &amp; Photo', 'Car Electronics')",in_set,0.092409,0.091917,0.000492,0.53,1.25
"main_cat IN ('Camera &amp; Photo', 'Cell Phones &amp; Accessories')",in_set,0.092757,0.094236,0.001479,1.59,1.17
main_cat='Home Audio &amp; Theater' AND overall>=3.0,compound,0.093965,0.093205,0.00076,0.81,6.71
"main_cat IN ('Camera &amp; Photo', 'Office Products')",in_set,0.094942,0.095267,0.000325,0.34,1.21
"main_cat IN ('Camera &amp; Photo', 'Sports & Outdoors')",in_set,0.095107,0.097844,0.002737,2.88,1.04
"main_cat IN ('Camera &amp; Photo', 'Books')",in_set,0.096362,0.098016,0.001654,1.72,0.75
verified=true AND overall<=2.0,compound,0.097019,0.099562,0.002543,2.62,3.54
"main_cat IN ('Camera &amp; Photo', 'Cell Phones &amp; Accessories', 'Car Electronics')",in_set,0.103358,0.103599,0.000241,0.23,1.96
"main_cat IN ('Camera &amp; Photo', 'Office Products', 'Car Electronics')",in_set,0.105544,0.10463,0.000913,0.87,1.96
"main_cat IN ('Camera &amp; Photo', 'Sports & Outdoors', 'Car Electronics')",in_set,0.105708,0.107207,0.001499,1.42,1.87
"main_cat IN ('Camera &amp; Photo', 'Office Products', 'Cell Phones &amp; Accessories')",in_set,0.105891,0.10695,0.001058,1.0,2.0
"main_cat IN ('Camera &amp; Photo', 'Sports & Outdoors', 'Cell Phones &amp; Accessories')",in_set,0.106056,0.109527,0.00347,3.27,1.83
"main_cat IN ('Camera &amp; Photo', 'Books', 'Car Electronics')",in_set,0.106963,0.107379,0.000416,0.39,1.58
"main_cat IN ('Camera &amp; Photo', 'Books', 'Cell Phones &amp; Accessories')",in_set,0.107311,0.109698,0.002387,2.22,1.58
main_cat='Camera & Photo' AND overall>=4.0,compound,0.107724,0.100077,0.007646,7.1,5.5
"main_cat IN ('Camera &amp; Photo', 'Sports & Outdoors', 'Office Products')",in_set,0.108242,0.110558,0.002316,2.14,2.04
"main_cat IN ('Camera &amp; Photo', 'Books', 'Office Products')",in_set,0.109497,0.110729,0.001233,1.13,1.71
"main_cat IN ('Camera &amp; Photo', 'Books', 'Sports & Outdoors')",in_set,0.109661,0.113306,0.003645,3.32,1.5
main_cat='Home Audio &amp; Theater',single,0.109932,0.111245,0.001313,1.19,0.33
"main_cat IN ('Camera &amp; Photo', 'Musical Instruments')",in_set,0.11605,0.119406,0.003356,2.89,1.17
main_cat='Camera & Photo' AND overall>=3.0,compound,0.116578,0.108754,0.007824,6.71,6.75
verified=false AND overall<=4.0,compound,0.119544,0.116399,0.003145,2.63,15.67
"main_cat IN ('Home Audio &amp; Theater', 'Car Electronics')",in_set,0.120534,0.120608,7.5e-05,0.06,1.33
"main_cat IN ('Home Audio &amp; Theater', 'Cell Phones &amp; Accessories')",in_set,0.120881,0.122928,0.002046,1.69,1.37
"main_cat IN ('Camera &amp; Photo', 'Computers')",in_set,0.120969,0.121038,6.9e-05,0.06,1.33
verified=false AND overall>=5.0,compound,0.122095,0.123357,0.001262,1.03,2.58
"overall IN (2,3)",in_set,0.122933,0.122842,9.1e-05,0.07,1.62
"main_cat IN ('Home Audio &amp; Theater', 'Office Products')",in_set,0.123067,0.123958,0.000892,0.72,1.38
"main_cat IN ('Home Audio &amp; Theater', 'Sports & Outdoors')",in_set,0.123232,0.126536,0.003304,2.68,1.33
"main_cat IN ('Home Audio &amp; Theater', 'Books')",in_set,0.124487,0.126707,0.002221,1.78,0.83
"main_cat IN ('Camera &amp; Photo', 'Musical Instruments', 'Car Electronics')",in_set,0.126651,0.128769,0.002118,1.67,2.21
"main_cat IN ('Camera &amp; Photo', 'Musical Instruments', 'Cell Phones &amp; Accessories')",in_set,0.126999,0.131088,0.004089,3.22,2.17
"main_cat IN ('Camera &amp; Photo', 'Musical Instruments', 'Office Products')",in_set,0.129184,0.132119,0.002935,2.27,2.25
"main_cat IN ('Camera &amp; Photo', 'Musical Instruments', 'Sports & Outdoors')",in_set,0.129349,0.134696,0.005347,4.13,2.04
"main_cat IN ('Camera &amp; Photo', 'Musical Instruments', 'Books')",in_set,0.130604,0.134868,0.004264,3.26,1.46
main_cat='Camera & Photo',single,0.130617,0.122498,0.008119,6.22,0.33
"main_cat IN ('Home Audio &amp; Theater', 'Cell Phones &amp; Accessories', 'Car Electronics')",in_set,0.131483,0.132291,0.000808,0.61,2.42
"main_cat IN ('Camera &amp; Photo', 'Computers', 'Car Electronics')",in_set,0.131571,0.130401,0.001169,0.89,2.29
"main_cat IN ('Camera &amp; Photo', 'Computers', 'Cell Phones &amp; Accessories')",in_set,0.131918,0.132721,0.000802,0.61,2.37
"main_cat IN ('Home Audio &amp; Theater', 'Office Products', 'Car Electronics')",in_set,0.133668,0.133322,0.000346,0.26,2.38
"main_cat IN ('Home Audio &amp; Theater', 'Sports & Outdoors', 'Car Electronics')",in_set,0.133833,0.135899,0.002066,1.54,2.33
"main_cat IN ('Home Audio &amp; Theater', 'Office Products', 'Cell Phones &amp; Accessories')",in_set,0.134016,0.135641,0.001625,1.21,2.5
"main_cat IN ('Camera &amp; Photo', 'Computers', 'Office Products')",in_set,0.134104,0.133751,0.000352,0.26,2.38
"main_cat IN ('Home Audio &amp; Theater', 'Sports & Outdoors', 'Cell Phones &amp; Accessories')",in_set,0.134181,0.138218,0.004037,3.01,2.37
"main_cat IN ('Camera &amp; Photo', 'Computers', 'Sports & Outdoors')",in_set,0.134269,0.136328,0.00206,1.53,2.21
"main_cat IN ('Home Audio &amp; Theater', 'Books', 'Car Electronics')",in_set,0.135088,0.136071,0.000983,0.73,1.83
"main_cat IN ('Home Audio &amp; Theater', 'Books', 'Cell Phones &amp; Accessories')",in_set,0.135436,0.13839,0.002954,2.18,1.92
"main_cat IN ('Camera &amp; Photo', 'Computers', 'Books')",in_set,0.135524,0.1365,0.000977,0.72,1.54
"main_cat IN ('Home Audio &amp; Theater', 'Sports & Outdoors', 'Office Products')",in_set,0.136366,0.139249,0.002883,2.11,2.5
main_cat='Home Audio & Theater' AND overall>=5.0,compound,0.136557,0.136328,0.000228,0.17,2.42
"main_cat IN ('Home Audio &amp; Theater', 'Books', 'Office Products')",in_set,0.137621,0.139421,0.0018,1.31,1.92
"main_cat IN ('Home Audio &amp; Theater', 'Books', 'Sports & Outdoors')",in_set,0.137786,0.141998,0.004212,3.06,1.83
"main_cat IN ('Camera & Photo', 'Car Electronics')",in_set,0.141219,0.131862,0.009357,6.63,1.58
"main_cat IN ('Camera & Photo', 'Cell Phones &amp; Accessories')",in_set,0.141566,0.134181,0.007386,5.22,1.58
"main_cat IN ('Camera & Photo', 'Office Products')",in_set,0.143752,0.135212,0.00854,5.94,1.58
"main_cat IN ('Camera & Photo', 'Sports & Outdoors')",in_set,0.143917,0.137789,0.006128,4.26,1.54
"main_cat IN ('Home Audio &amp; Theater', 'Musical Instruments')",in_set,0.144174,0.148097,0.003923,2.72,1.54
"main_cat IN ('Camera & Photo', 'Books')",in_set,0.145172,0.137961,0.007211,4.97,0.71
overall<=2.0,range,0.148908,0.153423,0.004515,3.03,2.04
"overall IN (1,2)",in_set,0.148908,0.153423,0.004515,3.03,1.67
"main_cat IN ('Home Audio &amp; Theater', 'Computers')",in_set,0.149094,0.149729,0.000636,0.43,1.71
verified=true AND overall<=3.0,compound,0.150019,0.151619,0.0016,1.07,5.92
"main_cat IN ('Camera & Photo', 'Cell Phones &amp; Accessories', 'Car Electronics')",in_set,0.152168,0.143544,0.008624,5.67,2.71
"main_cat IN ('Camera & Photo', 'Office Products', 'Car Electronics')",in_set,0.154353,0.144575,0.009778,6.33,2.67
"main_cat IN ('Camera & Photo', 'Sports & Outdoors', 'Car Electronics')",in_set,0.154518,0.147152,0.007366,4.77,2.33
"main_cat IN ('Camera & Photo', 'Office Products', 'Cell Phones &amp; Accessories')",in_set,0.154701,0.146895,0.007807,5.05,2.5
"main_cat IN ('Home Audio &amp; Theater', 'Musical Instruments', 'Car Electronics')",in_set,0.154776,0.157461,0.002685,1.73,2.67
"main_cat IN ('Camera & Photo', 'Sports & Outdoors', 'Cell Phones &amp; Accessories')",in_set,0.154866,0.149472,0.005394,3.48,2.37
"main_cat IN ('Home Audio &amp; Theater', 'Musical Instruments', 'Cell Phones &amp; Accessories')",in_set,0.155124,0.15978,0.004656,3.0,2.67
"main_cat IN ('Camera &amp; Photo', 'Computers', 'Musical Instruments')",in_set,0.155211,0.15789,0.002679,1.73,2.37
"main_cat IN ('Camera & Photo', 'Books', 'Car Electronics')",in_set,0.155773,0.147324,0.008449,5.42,1.62
"main_cat IN ('Camera & Photo', 'Books', 'Cell Phones &amp; Accessories')",in_set,0.156121,0.149644,0.006477,4.15,1.62
"main_cat IN ('Camera & Photo', 'Sports & Outdoors', 'Office Products')",in_set,0.157051,0.150503,0.006549,4.17,2.46
main_cat='All Electronics' AND overall>=5.0,compound,0.157278,0.159351,0.002073,1.32,2.79
"main_cat IN ('Home Audio &amp; Theater', 'Musical Instruments', 'Office Products')",in_set,0.157309,0.160811,0.003502,2.23,2.75
"main_cat IN ('Home Audio &amp; Theater', 'Musical Instruments', 'Sports & Outdoors')",in_set,0.157474,0.163388,0.005914,3.76,2.62
"main_cat IN ('Camera & Photo', 'Books', 'Office Products')",in_set,0.158306,0.150674,0.007632,4.82,1.75
"main_cat IN ('Camera & Photo', 'Books', 'Sports & Outdoors')",in_set,0.158471,0.153251,0.00522,3.29,1.62
"main_cat IN ('Home Audio &amp; Theater', 'Musical Instruments', 'Books')",in_set,0.158729,0.16356,0.004831,3.04,1.75
"main_cat IN ('Home Audio &amp; Theater', 'Computers', 'Car Electronics')",in_set,0.159695,0.159093,0.000602,0.38,2.67
"main_cat IN ('Home Audio &amp; Theater', 'Computers', 'Cell Phones &amp; Accessories')",in_set,0.160043,0.161412,0.001369,0.86,2.79
"main_cat IN ('Home Audio &amp; Theater', 'Computers', 'Office Products')",in_set,0.162228,0.162443,0.000215,0.13,2.75
"main_cat IN ('Home Audio &amp; Theater', 'Computers', 'Sports & Outdoors')",in_set,0.162393,0.16502,0.002627,1.62,2.71
"main_cat IN ('Home Audio &amp; Theater', 'Computers', 'Books')",in_set,0.163648,0.165192,0.001544,0.94,1.83
"main_cat IN ('Camera & Photo', 'Musical Instruments')",in_set,0.164859,0.159351,0.005509,3.34,1.54
"main_cat IN ('Camera & Photo', 'Computers')",in_set,0.169779,0.160983,0.008796,5.18,1.62
verified=false AND overall>=4.0,compound,0.170356,0.167769,0.002587,1.52,6.08
"overall IN (1,3)",in_set,0.170763,0.170948,0.000184,0.11,2.0
"main_cat IN ('Camera & Photo', 'Musical Instruments', 'Car Electronics')",in_set,0.175461,0.168714,0.006747,3.85,2.75
"main_cat IN ('Camera & Photo', 'Musical Instruments', 'Cell Phones &amp; Accessories')",in_set,0.175809,0.171033,0.004775,2.72,2.75
"main_cat IN ('Camera & Photo', 'Musical Instruments', 'Office Products')",in_set,0.177994,0.172064,0.00593,3.33,2.75
"main_cat IN ('Camera & Photo', 'Musical Instruments', 'Sports & Outdoors')",in_set,0.178159,0.174641,0.003518,1.97,2.67
main_cat='Home Audio & Theater' AND overall>=4.0,compound,0.178716,0.178851,0.000135,0.08,6.0
"main_cat IN ('Camera & Photo', 'Musical Instruments', 'Books')",in_set,0.179414,0.174813,0.004601,2.56,1.71
"main_cat IN ('Camera & Photo', 'Computers', 'Car Electronics')",in_set,0.18038,0.170346,0.010034,5.56,2.83
"main_cat IN ('Camera & Photo', 'Computers', 'Cell Phones &amp; Accessories')",in_set,0.180728,0.172666,0.008063,4.46,2.88
"main_cat IN ('Camera & Photo', 'Computers', 'Office Products')",in_set,0.182913,0.173696,0.009217,5.04,2.92
"main_cat IN ('Camera & Photo', 'Computers', 'Sports & Outdoors')",in_set,0.183078,0.176274,0.006805,3.72,2.75
"main_cat IN ('Home Audio &amp; Theater', 'Computers', 'Musical Instruments')",in_set,0.183336,0.186582,0.003246,1.77,3.0
"main_cat IN ('Camera & Photo', 'Computers', 'Books')",in_set,0.184333,0.176445,0.007888,4.28,1.79
verified=false AND overall>=3.0,compound,0.18975,0.185895,0.003855,2.03,7.29
"main_cat IN ('Home Audio &amp; Theater', 'Camera &amp; Photo')",in_set,0.191739,0.193798,0.002058,1.07,1.96
main_cat='Home Audio & Theater' AND overall>=3.0,compound,0.196324,0.195258,0.001066,0.54,7.25
main_cat='All Electronics' AND overall>=4.0,compound,0.202083,0.204536,0.002452,1.21,6.37
"main_cat IN ('Home Audio &amp; Theater', 'Camera &amp; Photo', 'Car Electronics')",in_set,0.202341,0.203161,0.00082,0.41,3.21
"main_cat IN ('Home Audio &amp; Theater', 'Camera &amp; Photo', 'Cell Phones &amp; Accessories')",in_set,0.202689,0.205481,0.002792,1.38,3.29
"main_cat IN ('Camera & Photo', 'Computers', 'Musical Instruments')",in_set,0.204021,0.197835,0.006186,3.03,2.96
"main_cat IN ('Home Audio &amp; Theater', 'Camera &amp; Photo', 'Office Products')",in_set,0.204874,0.206511,0.001637,0.8,3.33
"main_cat IN ('Home Audio &amp; Theater', 'Camera &amp; Photo', 'Sports & Outdoors')",in_set,0.205039,0.209089,0.00405,1.98,3.13
"main_cat IN ('Home Audio &amp; Theater', 'Camera &amp; Photo', 'Books')",in_set,0.206294,0.20926,0.002966,1.44,2.04
verified=false AND overall>=2.0,compound,0.206296,0.204192,0.002104,1.02,8.25
"main_cat IN ('Camera & Photo', 'Camera &amp; Photo')",in_set,0.212424,0.205051,0.007373,3.47,2.17
overall<=3.0,range,0.221302,0.223606,0.002304,1.04,4.21
"overall IN (1,2,3)",in_set,0.221302,0.223606,0.002304,1.04,3.83
main_cat='All Electronics' AND overall>=3.0,compound,0.221585,0.222575,0.00099,0.45,7.37
"main_cat IN ('Camera & Photo', 'Camera &amp; Photo', 'Car Electronics')",in_set,0.223026,0.214415,0.008611,3.86,3.58
"main_cat IN ('Camera & Photo', 'Camera &amp; Photo', 'Cell Phones &amp; Accessories')",in_set,0.223374,0.216734,0.00664,2.97,3.5
"main_cat IN ('Camera & Photo', 'Camera &amp; Photo', 'Office Products')",in_set,0.225559,0.217765,0.007794,3.46,3.67
"main_cat IN ('Camera & Photo', 'Camera &amp; Photo', 'Sports & Outdoors')",in_set,0.225724,0.220342,0.005382,2.38,3.38
"main_cat IN ('Home Audio &amp; Theater', 'Camera &amp; Photo', 'Musical Instruments')",in_set,0.225982,0.23065,0.004669,2.07,3.33
"overall IN (2,4)",in_set,0.226317,0.225238,0.001078,0.48,2.21
"main_cat IN ('Camera & Photo', 'Camera &amp; Photo', 'Books')",in_set,0.226979,0.220514,0.006465,2.85,2.17
"main_cat IN ('Home Audio &amp; Theater', 'Camera &amp; Photo', 'Computers')",in_set,0.230901,0.232282,0.001381,0.6,3.83
main_cat='Home Audio & Theater',single,0.231638,0.229362,0.002276,0.98,0.33
"main_cat IN ('Camera & Photo', 'Home Audio &amp; Theater')",in_set,0.240549,0.233743,0.006806,2.83,2.25
verified=false AND overall<=5.0,compound,0.241639,0.239756,0.001883,0.78,10.12
verified=false,single,0.241639,0.239756,0.001883,0.78,0.29
"main_cat IN ('Home Audio & Theater', 'Car Electronics')",in_set,0.24224,0.238725,0.003514,1.45,2.38
"main_cat IN ('Home Audio & Theater', 'Cell Phones &amp; Accessories')",in_set,0.242587,0.241045,0.001543,0.64,2.42
"main_cat IN ('Home Audio & Theater', 'Office Products')",in_set,0.244773,0.242075,0.002697,1.1,2.46
"main_cat IN ('Home Audio & Theater', 'Sports & Outdoors')",in_set,0.244938,0.244653,0.000285,0.12,2.58
"main_cat IN ('Home Audio & Theater', 'Books')",in_set,0.246193,0.244824,0.001368,0.56,0.79
"main_cat IN ('Camera & Photo', 'Camera &amp; Photo', 'Musical Instruments')",in_set,0.246667,0.241904,0.004763,1.93,3.54
"overall IN (3,4)",in_set,0.248172,0.242763,0.005409,2.18,2.33
"main_cat IN ('Camera & Photo', 'Home Audio &amp; Theater', 'Car Electronics')",in_set,0.251151,0.243106,0.008044,3.2,3.88
"main_cat IN ('Camera & Photo', 'Home Audio &amp; Theater', 'Cell Phones &amp; Accessories')",in_set,0.251498,0.245426,0.006073,2.41,4.04
"main_cat IN ('Camera & Photo', 'Camera &amp; Photo', 'Computers')",in_set,0.251586,0.243536,0.00805,3.2,3.88
"main_cat IN ('Home Audio & Theater', 'Cell Phones &amp; Accessories', 'Car Electronics')",in_set,0.253189,0.250408,0.002781,1.1,4.17
"main_cat IN ('Camera & Photo', 'Home Audio &amp; Theater', 'Office Products')",in_set,0.253684,0.246456,0.007227,2.85,4.0
